 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Período:Jul/2026
"Procedimento";"2026/Abr";"2026/Mai";"2026/Jun";"2026/Jul";"Total"
"0503010014 ACOES RELACIONADAS A DOACAO DE ORGAOS E TECIDOS PARA TRANSPLANTE";-;28;526;198;752
"0503010022 ACOES RELACIONADAS A DOACAO DE ORGAOS E TECIDOS REALIZADAS POR EQUIPE DE OUTRO ESTABELECIMENTO";-;-;38;60;98
"0503030058 RETIRADA DE GLOBO OCULAR UNI / BILATERAL (P/ TRANSPLANTE)";-;28;562;254;844
"0503040061 ENTREVISTA FAMILIAR PARA DOACAO DE TECIDOS DE DOADORES COM CORACAO PARADO";-;26;540;233;799
"0504010018 CONTAGEM DE CELULAS ENDOTELIAIS DA CORNEA";-;51;966;370;1387
"0504010026 PROCESSAMENTO DE CORNEA / ESCLERA";-;26;490;187;703
"0504010034 SEPARACAO E AVALIACAO BIOMICROSCOPICA DA CORNEA";-;51;969;370;1390
"0504050010 PROCESSAMENTO DE MEMBRANA AMNIOTICA";-;-;-;2;2
"0505010097 TRANSPLANTE DE CORNEA OU LAMELA";-;4;70;98;172
"0505010135 TRANSPLANTE DE CORNEA (EM CIRURGIAS COMBINADAS OU EM REOPERACOES)";-;-;-;4;4
"0506010015 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORNEA";-;4;80;816;900
"0506010058 AVALIACAO DO POSSIVEL DOADOR FALECIDO DE ORGAOS OU TECIDOS PARA TRANSPLANTES";-;28;560;242;830
"0506010066 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE MEDULA OSSEA - AUTOGENICO";-;12;22;104;138
"0506010074 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE MEDULA OSSEA - ALOGENICO APARENTADO";-;45;76;193;314
"0506010082 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE MEDULA OSSEA - ALOGENICO NAO APARENTADO";-;7;22;43;72
"0506010090 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE PANCREAS";-;-;9;177;186
"0506010104 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE RIM";-;108;652;7084;7844
"0506010112 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE FIGADO";-;6;677;627;1310
"0506010120 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE PULMAO";-;-;1;66;67
"0506010139 ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORACAO";-;1;114;113;228
"0506010147 ACOMPANHAMENTO DE DOADOR VIVO POS-DOACAO DE RIM";-;-;-;115;115
"0506010155 ACOMPANHAMENTO DE DOADOR VIVO POS-DOACAO DE FIGADO";1;1;9;-;11
"0506010171 ACOMPANHAMENTO DE PACIENTES NO PRE TRANSPLANTE DE PANCREAS";-;-;-;36;36
"0506010180 ACOMPANHAMENTO DE PACIENTES NO PRE TRANSPLANTE DE RIM";-;-;67;1217;1284
"0506010198 ACOMPANHAMENTO DE PACIENTES NO PRE TRANSPLANTE DE FIGADO";-;-;6;89;95
"0506010210 ACOMPANHAMENTO DE PACIENTES NO PRE TRANSPLANTE DE CORACAO";6;1;-;5;12
"0604010010 MESALAZINA 400 MG (POR COMPRIMIDO)";-;-;-;84868;84868
"0604010028 MESALAZINA 500 MG (POR COMPRIMIDO)";120;-;-;436273;436393
"0604010036 MESALAZINA 800 MG - POR COMPRIMIDOÇ¨";-;-;120;887826;887946
"0604010044 MESALAZINA 250 MG (POR SUPOSITORIO)";-;-;-;4344;4344
"0604010052 MESALAZINA 500 MG (POR SUPOSITORIO)";-;-;-;32920;32920
"0604010060 MESALAZINA 1000 MG (POR SUPOSITORIO)";-;-;-;89859;89859
"0604010079 MESALAZINA 1 G + DILUENTE 100 ML (ENEMA) - POR DOSE";-;-;-;6270;6270
"0604010095 SULFASSALAZINA 500 MG (POR COMPRIMIDO)";-;-;-;390692;390692
"0604010109 MESALAZINA 2 G GRANULOS DE LIBERACAO PROLONGADA (POR SACHE)";-;-;-;50123;50123
"0604020015 DEFERASIROX 125 MG (POR COMPRIMIDO)Ç¨";-;-;-;315;315
"0604020023 DEFERASIROX 250 MG (POR COMPRIMIDO)Ç¨";-;-;-;1935;1935
"0604020031 DEFERASIROX 500 MG (POR COMPRIMIDO)Ç¨";-;-;-;49800;49800
"0604020040 DEFERIPRONA 500 MG (POR COMPRIMIDO)";-;-;-;43345;43345
"0604020058 DESFERROXAMINA 500 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;1875;1875
"0604020066 DEFERIPRONAÇ¨1000 MG LIBERACAO MODIFICADA (POR COMPRIMIDO)";-;-;-;1460;1460
"0604030037 CABERGOLINA 0,5 MG (POR COMPRIMIDO)";-;-;40;59813;59853
"0604030045 PRAMIPEXOL 0,125 MG (POR COMPRIMIDO)";-;-;270;120322;120592
"0604030053 PRAMIPEXOL 0,25 MG (POR COMPRIMIDO)";60;-;360;498205;498625
"0604030061 PRAMIPEXOL 1 MG (POR COMPRIMIDO)";210;-;-;316438;316648
"0604040024 FORMOTEROL 12 MCG (POR CAPSULA INALANTE)";-;-;-;257221;257221
"0604040040 FORMOTEROL 12 MCG + BUDESONIDA 400 MCG Ç¨(POR CAPSULA INALANTE)";60;-;-;65944;66004
"0604040059  FORMOTEROL 12 MCG + BUDESONIDA 400 MCG PO INALANTE (POR FRASCO DE 60 DOSES)";6;13;25;104795;104839
"0604040067 FORMOTEROL 6 MCG + BUDESONIDA 200 MCG PO INALANTE (POR FRASCO DE 60 DOSES)";-;1;2;12957;12960
"0604040075  FORMOTEROL 6MCG + BUDESONIDA 200 MCG (POR CAPSULA INALANTE)";120;-;60;62476;62656
"0604050011 CODEINA 3 MG/ML SOLUCAO ORAL (POR FRASCO DE 120 ML)";-;-;8;803;811
"0604050038 CODEINA 30 MG (POR COMPRIMIDO)";120;150;240;425339;425849
"0604050046 CODEINA 60 MG (POR COMPRIMIDO)";-;-;-;18310;18310
"0604050054  MORFINA 10 MG/ML (POR AMPOLA DE 1 ML)";-;-;-;7550;7550
"0604050062 MORFINA 10 MG/ML SOLUCAO ORAL (POR FRASCO DE 60 ML)";-;-;-;294;294
"0604050070 MORFINA 10 MG (POR COMPRIMIDO)";-;270;120;320854;321244
"0604050089 MORFINA 30 MG (POR COMPRIMIDO)";-;-;-;69924;69924
"0604050097 MORFINA DE LIBERACAO CONTROLADA 30 MG (POR CAPSULA)";-;-;-;5966;5966
"0604050100 MORFINA Ç¨DE LIBERACAO CONTROLADA 60 MG (POR CAPSULA)";-;-;-;2577;2577
"0604050119 MORFINA Ç¨DE LIBERACAO CONTROLADA 100 MG (POR CAPSULA)";-;-;-;1260;1260
"0604060017 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MENOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE";-;-;-;10500;10500
"0604060025 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE";-;-;-;924500;924500
"0604070012 TRIEXIFENIDIL 5 MG (POR COMPRIMIDO)";-;-;-;1860;1860
"0604080018 CLOROQUINA 150 MG (POR COMPRIMIDO)";-;-;-;805;805
"0604080026 HIDROXICLOROQUINA 400 MG (POR COMPRIMIDO)";90;180;240;615886;616396
"0604090013 CICLOFOSFAMIDA 50 MG (POR DRAGEA)Ç¨";-;-;-;2025;2025
"0604100019 DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML";-;-;-;6223;6223
"0604100027 DESMOPRESSINA 0,1 MG (POR COMPRIMIDO)";-;-;-;1848;1848
"0604110014 GOSSERRELINA 3,60 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;1;376;377
"0604110022 GOSSERRELINA 10,80 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;1011;1011
"0604110030 LEUPRORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;1837;1837
"0604110057 TRIPTORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;1;243;244
"0604110065 TRIPTORRELINA 11,25 MG INJETAVEL (POR FRASCO-AMPOLA)";1;-;1;2483;2485
"0604110073 TRIPTORRELINA 22,5 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;402;402
"0604110081 LEUPRORRELINA 45 MG INJETAVEL (SERINGA PREENCHIDA)";-;-;-;418;418
"0604120010 CIPROTERONA 50 MG (POR COMPRIMIDO)";-;-;-;598;598
"0604130015 CLORIDRATO DE DONEPEZILA 5 MG (POR COMPRIMIDO)";-;30;30;183804;183864
"0604130023 CLORIDRATO DE DONEPEZILA 10 MG (POR COMPRIMIDO)";121;30;30;446232;446413
"0604130031 GALANTAMINA 8 MG (POR CAPSULA DE LIBERACAO PROLONGADA)";-;30;-;81866;81896
"0604130040 GALANTAMINA 16 MG (POR CAPSULA DE LIBERACAO PROLONGADA)";-;-;-;58341;58341
"0604130058 GALANTAMINA 24 MG (POR CAPSULA DE LIBERACAO PROLONGADA)";30;-;30;105495;105555
"0604130066 RIVASTIGMINA 1,5 MG (POR CAPSULA)";-;-;-;35210;35210
"0604130074 RIVASTIGMINA 2,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 120 ML)";-;-;-;133;133
"0604130082 RIVASTIGMINA 3 MG (POR CAPSULA)";-;-;-;46097;46097
"0604130090 RIVASTIGMINA 4,5 MG (POR CAPSULA)";-;-;-;14192;14192
"0604130104 RIVASTIGMINA 6 MG (POR CAPSULA)";-;-;-;31172;31172
"0604130112 PIRIDOSTIGMINA 60 MG (POR COMPRIMIDO)";-;-;120;218650;218770
"0604130120 RIVASTIGMINA 9 MG ADESIVO TRANSDERMICO";-;30;-;6367;6397
"0604130139 RIVASTIGMINA 18 MG ADESIVO TRANSDERMICO";-;-;30;219275;219305
"0604140029 DANAZOL 100 MG (POR CAPSULA)";-;-;-;1189;1189
"0604150016  PRIMIDONA 100 MG (POR COMPRIMIDO)";60;-;-;29839;29899
"0604150024 PRIMIDONA 250 MG (POR COMPRIMIDO)";-;-;-;3408;3408
"0604160020 PAMIDRONATO 60 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;14;14
"0604160054 RISEDRONATO 35 MG (POR COMPRIMIDO)";4;-;4;25722;25730
"0604160062 ACIDO ZOLEDRONICO 0,05 MG/ML(EMBALAGEM 100 ML)";-;-;1;1000;1001
"0604180012 CLOBAZAM 10 MG (POR COMPRIMIDO)";30;60;-;363589;363679
"0604180020  CLOBAZAM 20 MG (POR COMPRIMIDO)";-;-;-;132657;132657
"0604190018 VIGABATRINA 500 MG (POR COMPRIMIDO)";-;-;180;68688;68868
"0604200013 AMANTADINA 100 MG (POR COMPRIMIDO)";60;-;150;361729;361939
"0604210019 ZIPRASIDONA 40 MG (POR CAPSULA)";-;-;-;78987;78987
"0604210027 ZIPRASIDONA 80 MG (POR CAPSULA)";-;-;-;35849;35849
"0604220014 ETOSSUXIMIDA 50 MG/ML (FRASCO DE 120 ML)";-;-;-;1076;1076
"0604230010 OLANZAPINA 5 MG (POR COMPRIMIDO)";150;60;120;673095;673425
"0604230028 OLANZAPINA 10 MG (POR COMPRIMIDO)";180;90;30;1174641;1174941
"0604230036 QUETIAPINA 25 MG (POR COMPRIMIDO)";420;270;210;1552873;1553773
"0604230044 QUETIAPINA 100 MG (POR COMPRIMIDO)";241;335;480;1461536;1462592
"0604230052 QUETIAPINA 200 MG (POR COMPRIMIDO)";196;62;90;821964;822312
"0604230060 QUETIAPINA 300 MG (POR COMPRIMIDO)";-;-;30;185023;185053
"0604230079 CLOZAPINA 25 MG (POR COMPRIMIDO)";90;-;-;132873;132963
"0604230087 CLOZAPINA 100 MG (POR COMPRIMIDO)";-;-;-;979331;979331
"0604240023 ALFATALIGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA)";-;-;-;493;493
"0604240031 IMIGLUCERASE 400 U INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;1884;1884
"0604240058 ALFAVELAGLICERASE 400 U INJETAVEL (POR FRASCO AMPOLA)";-;-;-;35;35
"0604240066 LARONIDASE 0,58 MG/ML SOLUCAO INJETAVEL (FRASCO DE 5 ML)";-;-;-;539;539
"0604240074 IDURSULFASE ALFA 2 MG/ML SOLUCAO INJETAVEL (FRASCO DE 3 ML)";-;-;-;549;549
"0604240082 GALSULFASE 1 MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML)";-;-;-;440;440
"0604240090 ALFAELOSULFASE 1 MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML)";-;-;-;473;473
"0604240104 ALFA-ALGLICOSIDASE 50 MG PO LIOFILIZADO PARA SOLUCAO INJETAVEL";-;-;-;478;478
"0604240112 ALFAVESTRONIDASE 10 MG SOLUCAO INJETAVEL (FRASCOCOM 5ML)";-;-;-;24;24
"0604240120 ALFAGALSIDASE 1MG/ML (FRASCO AMPOLA DE 3,5 ML)";-;-;-;758;758
"0604250010 FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA)";-;8;4;941;953
"0604250037 ELTROMBOPAGUE OLAMINA 25 MG (POR COMPRIMIDO)";-;-;-;44717;44717
"0604250045 ELTROMBOPAGUE OLAMINA 50 MG (POR COMPRIMIDO)";-;-;-;53863;53863
"0604260016 SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML)";14;4;44;100806;100868
"0604270011  BEZAFIBRATO 200 MG (POR DRAGEA OU COMPRIMIDO)";-;-;-;129109;129109
"0604270020 BEZAFIBRATO 400 MG (POR COMPRIMIDO DE DESINTEGRACAO LENTA)";-;-;30;109554;109584
"0604270038 CIPROFIBRATO 100 MG (POR COMPRIMIDO)";105;60;180;991868;992213
"0604270054 FENOFIBRATO 200 MG (POR CAPSULA)";-;30;30;242923;242983
"0604270062 FENOFIBRATO 250 MG (POR CAPSULA DE LIBERACAO RETARDADA)";-;-;30;53577;53607
"0604270070 GENFIBROZILA 600 MG (COMPRIMIDO)";-;-;-;11516;11516
"0604270089 GENFIBROZILA 900 MG (POR COMPRIMIDO)";-;-;-;4063;4063
"0604280068 BUDESONIDA 200 MCG (POR CAPSULA INALANTE)";180;180;-;256258;256618
"0604280076 BUDESONIDA 400 MCG (POR CAPSULA INALANTE)";180;420;360;1313126;1314086
"0604280106 METILPREDNISOLONA 500 MG INJETAVEL (POR AMPOLA)";-;-;-;23;23
"0604290012 OCTREOTIDA Ç¨LAR 10 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;19;19
"0604290020 OCTREOTIDA LAR 20 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;120;120
"0604290039 OCTREOTIDA Ç¨LAR 30 MG INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;215;215
"0604290063 LANREOTIDA 60 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;6;6
"0604290071 LANREOTIDA 90 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;42;42
"0604290080 LANREOTIDA 120 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;321;321
"0604310056 IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)";-;-;7;19586;19593
"0604320019 EVEROLIMO 0,5 MG (POR COMPRIMIDO)Ç¨";-;-;-;45233;45233
"0604320027 EVEROLIMO 0,75 MG (POR COMPRIMIDO)Ç¨";-;-;-;26671;26671
"0604320035 EVEROLIMO 1 MG (POR COMPRIMIDO)Ç¨";-;-;-;78681;78681
"0604320043 LEFLUNOMIDA 20 MG (POR COMPRIMIDO)";30;30;120;485337;485517
"0604320051 MICOFENOLATO DE MOFETILA 500 MG (POR COMPRIMIDO)";-;270;180;782578;783028
"0604320060 MICOFENOLATO DE SODIO 180 MG (POR COMPRIMIDO)";-;-;-;83019;83019
"0604320078 MICOFENOLATO DE SODIO 360 MG (POR COMPRIMIDO)";-;-;210;1067766;1067976
"0604320086 SIROLIMO 1 MG (POR DRAGEA)";30;-;-;71346;71376
"0604320094 SIROLIMO 2 MG (POR DRAGEA)";30;-;60;22140;22230
"0604320116 NATALIZUMABE 300MG (POR FRASCO-AMPOLA)";-;-;-;2529;2529
"0604320132 FINGOLIMODE 0,5 MG (POR CAPSULA)";-;-;28;61991;62019
"0604320159 TOFACITINIBE 5 MG (POR COMPRIMIDO)";-;-;180;212913;213093
"0604320167 VEDOLIZUMABE 300 MG PO LIOFILIZADO PARA SOLUCAO INJETAVEL";-;-;2;1995;1997
"0604320175 BARICITINIBE 2MG (POR COMPRIMIDO)";-;-;-;3300;3300
"0604320183 BARICITINIBE 4MG (POR COMPRIMIDO)";-;-;60;47476;47536
"0604320191 UPADACITINIBE 15 MG (POR COMPRIMIDO REVESTIDO DE LIBERACAO PROLONGADA)";-;-;90;186411;186501
"0604320205 ALENTUZUMABE 10 MG/ML SOLUCAO INJETAVEL (FRASCO-AMPOLA CONTENDO 1,2 ML)";-;-;-;39;39
"0604320213 ECULIZUMABE 10 MG/ML SOLUCAO INJETAVEL (FRASCO COM 30 ML)";-;-;-;802;802
"0604320221 CLADRIBINA 10 MG (COMPRIMIDO)";-;-;-;2272;2272
"0604330014 ILOPROSTA 10 MCG/ML SOLUCAO PARA NEBULIZACAO (AMPOLA DE 1 ML)";-;-;-;53413;53413
"0604330022 CLOPIDOGREL 75 MG (POR COMPRIMIDO)";-;-;538;223391;223929
"0604330030 SELEXIPAGUE 200 MCG (POR COMPRIMIDO)";-;-;-;120;120
"0604330049 SELEXIPAGUE 400 MCG (POR COMPRIMIDO)";-;-;-;180;180
"0604330057 SELEXIPAGUE 600 MCG (POR COMPRIMIDO)";-;-;-;482;482
"0604330065 SELEXIPAGUE 800 MCG (POR COMPRIMIDO)";-;-;-;360;360
"0604330073 SELEXIPAGUE 1000 MCG (POR COMPRIMIDO)";-;-;-;360;360
"0604330081 SELEXIPAGUE 1200 MCG (POR COMPRIMIDO)";-;-;-;420;420
"0604330090 SELEXIPAGUE 1400 MCG (POR COMPRIMIDO)";-;-;-;480;480
"0604330103 SELEXIPAGUE 1600 MCG (POR COMPRIMIDO)";-;-;-;720;720
"0604330111 SELEXIPAGUE 200 MCG(TITULACAO DE DOSE) (POR COMPRIMIDO)";-;-;-;4200;4200
"0604330120 SELEXIPAGUE 800 MCG (TITULACAO DE DOSE) ( POR COMPRIMIDO)";-;-;-;1260;1260
"0604340028 CICLOSPORINA 25 MG (POR CAPSULA)";-;-;-;81307;81307
"0604340036 CICLOSPORINA 50 MG (POR CAPSULA)";-;-;150;159274;159424
"0604340044 CICLOSPORINA 100 MG (POR CAPSULA)";60;-;120;143664;143844
"0604340052 CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML)";-;-;-;489;489
"0604340060 TACROLIMO 1 MG (POR CAPSULA)";-;-;420;2803896;2804316
"0604340079 TACROLIMO 5 MG (POR CAPSULA)";-;-;60;212924;212984
"0604350015 SILDENAFILA 20 MG (POR COMPRIMIDO)";-;90;-;252532;252622
"0604350023 SILDENAFILA 25 MG (POR COMPRIMIDO)";-;-;-;40763;40763
"0604350031 SILDENAFILA 50 MG (POR COMPRIMIDO)";-;-;-;9025;9025
"0604360010 ATORVASTATINA 10 MG (POR COMPRIMIDO)";-;30;30;294254;294314
"0604360029 ATORVASTATINA 20 MG (POR COMPRIMIDO)";160;90;240;1227096;1227586
"0604360037 ATORVASTATINA 40 MG (POR COMPRIMIDO)";150;392;510;4453425;4454477
"0604360045  ATORVASTATINA 80 MG (POR COMPRIMIDO)";330;-;330;1620943;1621603
"0604360100  PRAVASTATINA 10 MG (POR COMPRIMIDO)";-;-;-;150;150
"0604360118 PRAVASTATINA 20MG (POR COMPRIMIDO)";-;-;-;1265;1265
"0604360126 PRAVASTATINA 40 MG (POR COMPRIMIDO)";-;-;-;1171;1171
"0604370032 RASAGILINA 1 MG (POR COMPRIMIDO)";30;-;60;87642;87732
"0604380020 ETANERCEPTE 25 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)";-;-;-;954;954
"0604380038 ETANERCEPTE 50MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)(ORIGINADOR)";-;-;-;5339;5339
"0604380046 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML)";-;-;-;618;618
"0604380054 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML)";-;4;-;7448;7452
"0604380062 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;17;17
"0604380070 CERTOLIZUMABE PEGOL 200 MG/ML INJETAVEL (POR SERINGA PREENCHIDA)";1;2;-;11391;11394
"0604380089 GOLIMUMABE 50 MG INJETAVEL (POR SERINGA PREENCHIDA";1;2;6;12937;12946
"0604380097 ADALIMUMABE 40 MG INJETAVEL (FRASCO AMPOLA)";-;-;-;5;5
"0604380100 ETANERCEPTE 50 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)(BIOSSIMILAR A)";4;-;2;8773;8779
"0604380119 INFLIXIMABE 10 MG /ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML) (BIOSSIMILAR A)";8;3;50;13655;13716
"0604380127 ADALIMUMABE 40 MG INJETAVEL ( POR SERINGA PREENCHIDA)( BIOSSIMILAR A)";2;10;29;44191;44232
"0604380135 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA) (BIOSSIMILAR B)";-;-;-;1921;1921
"0604390084 BETAINTERFERONA 1A 6.000.000 UI (22 MCG) INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;1019;1019
"0604390092 BETAINTERFERONA 1A 6.000.000 UI (30 MCG) INJETAVEL (POR FRASCO-AMPOLA, SERINGA PREENCHIDA OU CANETA";-;-;-;890;890
"0604390106 BETAINTERFERONA 1A 12.000.000 UI (44 MCG) INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;2570;2570
"0604390114 BETAINTERFERONA 1B 9.600.000 UI (300MCG) INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;934;934
"0604400012 SEVELAMER 800 MG (POR COMPRIMIDO)";270;-;1740;2518074;2520084
"0604410018 METADONA 5 MG (POR COMPRIMIDO)";90;-;90;84543;84723
"0604410026 METADONA 10 MG (POR COMPRIMIDO)";-;60;-;86309;86369
"0604410034 METADONA 10 MG/ML INJETAVEL (POR AMPOLA DE 1 ML)";-;-;-;15;15
"0604420013 FLUDROCORTISONA 0,1 MG (POR COMPRIMIDO)";-;-;-;30224;30224
"0604430019 RALOXIFENO 60 MG (POR COMPRIMIDO)";-;-;-;49280;49280
"0604440014 ALFADORNASE 2,5 MG (POR AMPOLA)";-;-;-;11677;11677
"0604470010 ALFAEPOETINA 1.000 UI INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;482;482
"0604470029 ALFAEPOETINA 2.000 UI INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;2746;2746
"0604470037 ALFAEPOETINA 3.000 UI INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;5246;5246
"0604470045 ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA)";60;20;170;321197;321447
"0604470053 ALFAEPOETINA 10.000 UI INJETAVEL (POR FRASCO-AMPOLA)";-;30;35;33227;33292
"0604480016 HIDROXIUREIA 500 MG (POR CAPSULA)";-;-;255;198238;198493
"0604480024 HIDROXIUREIA 100 MG (POR COMPRIMIDO REVESTIDO)";-;-;-;25543;25543
"0604490011 ENTACAPONA 200 MG (POR COMPRIMIDO)";60;-;60;260900;261020
"0604500017 GABAPENTINA 300 MG (POR CAPSULA)";180;1590;2990;4391087;4395847
"0604500025 GABAPENTINA 400 MG (POR CAPSULA)";90;270;330;469322;470012
"0604500033  LAMOTRIGINA 25 MG (POR COMPRIMIDO)";60;60;180;349305;349605
"0604500041 LAMOTRIGINA 50 MG (POR COMPRIMIDO)";-;30;150;385584;385764
"0604500050 LAMOTRIGINA 100 MG (POR COMPRIMIDO)";170;570;960;1622478;1624178
"0604500068 TOPIRAMATO 25 MG (POR COMPRIMIDO)";-;155;60;151858;152073
"0604500076 TOPIRAMATO 50 MG (POR COMPRIMIDO)";-;-;60;280779;280839
"0604500084 TOPIRAMATO 100 MG (POR COMPRIMIDO)";30;30;255;410229;410544
"0604500092 LEVETIRACETAM 100 MG /ML SOLUCAO ORAL (POR FRASCO DE 150 ML)";3;-;2;12601;12606
"0604500106 LEVETIRACETAM 250 MG (POR COMPRIMIDO)";-;390;180;1013703;1014273
"0604500114 LEVETIRACETAM 750 MG (POR COMPRIMIDO)";60;-;180;390295;390535
"0604500130 LEVETIRACETAM 500 MG (POR COMPRIMIDO)";-;-;-;74315;74315
"0604500149 LEVETIRACETAM 1000 MG (POR COMPRIMIDO)";-;-;-;26580;26580
"0604510012 RISPERIDONA 1 MG (POR COMPRIMIDO)";90;70;90;376426;376676
"0604510020 RISPERIDONA 2 MG (POR COMPRIMIDO)";210;60;-;996254;996524
"0604510039 RISPERIDONA 3 MG (POR COMPRIMIDO)";-;60;-;115825;115885
"0604510047 RISPERIDONA 1,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 30 ML)";-;1;-;18790;18791
"0604520026 GLATIRAMER 40 MG INJETAVEL (POR SERINGA PREENCHIDA)";-;-;-;5985;5985
"0604530013 AZATIOPRINA 50 MG (POR COMPRIMIDO)";60;150;301;1465514;1466025
"0604530021 METOTREXATO 2,5 MG (POR COMPRIMIDO)";68;184;108;610304;610664
"0604530030 METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 2 ML)";-;6;8;7981;7995
"0604540019 RILUZOL 50 MG (POR COMPRIMIDO)";-;-;60;80946;81006
"0604540027 FUMARATO DE DIMETILA 120 MG (POR CAPSULA)";-;-;-;252;252
"0604540035 FUMARATO DE DIMETILA 240 MG (POR CAPSULA)";-;-;-;61177;61177
"0604540043 TERIFLUNOMIDA 14 MG (POR COMPRIMIDO)";-;-;-;7815;7815
"0604540060 TAFAMIDIS 20 MG CAPSULA";-;-;-;6614;6614
"0604540078 MEMANTINA 10 MG (POR COMPRIMIDO)";210;270;60;774701;775241
"0604540086 TAFAMIDIS 61 MG (POR CAPSULA)";-;30;30;1679;1739
"0604550014 TOXINA BOTULINICA TIPO A 100 U INJETAVEL (POR FRASCO-AMPOLA)";-;3;9;989;1001
"0604550022 TOXINA BOTULINICA TIPO A 500 U INJETAVEL (POR FRASCO-AMPOLA)";-;-;-;2462;2462
"0604560010 PENICILAMINA 250 MG (POR CAPSULA)";-;-;-;12924;12924
"0604570031 CALCITONINA 200 UI/DOSE SPRAY NASAL (POR FRASCO)";-;-;-;616;616
"0604580010 PANCREATINA 10.000 UI (POR CAPSULA)";60;-;-;102466;102526
"0604580029 PANCREATINA 25000 UI (POR CAPSULA)";90;-;360;754427;754877
"0604590024 ISOTRETINOINA 20 MG (POR CAPSULA)";-;-;30;186489;186519
"0604600011 ACITRETINA 10 MG (POR CAPSULA)";-;-;3;42045;42048
"0604600020 ACITRETINA 25 MG (POR CAPSULA)";-;-;-;11927;11927
"0604610017 SOMATROPINA 4 UI INJETAVEL (POR FRASCO-AMPOLA)";-;-;13;12671;12684
"0604610025 SOMATROPINA 12 UI INJETAVEL (POR FRASCO-AMPOLA)";8;18;26;148413;148465
"0604620039 CALCITRIOL 0,25 MCG (POR CAPSULA)";30;-;90;740398;740518
"0604630018 MIGLUSTATE 100 MG (POR CAPSULA)";-;-;-;105;105
